,neg,neu,pos,compound
0,0.067,0.608,0.325,0.8588
1,0.0,1.0,0.0,0.0
2,0.186,0.505,0.309,0.5994
3,0.0,1.0,0.0,0.0
4,0.0,0.592,0.408,0.7346
5,0.0,0.641,0.359,0.8777
6,0.0,0.653,0.347,0.4926
7,0.072,0.847,0.081,0.0613
8,0.0,0.711,0.289,0.6908
9,0.129,0.706,0.165,0.1531
10,0.0,1.0,0.0,0.0
11,0.321,0.472,0.208,-0.5574
12,0.0,1.0,0.0,0.0
13,0.0,1.0,0.0,0.0
14,0.0,0.87,0.13,0.4019
15,0.0,0.933,0.067,0.0772
16,0.0,0.576,0.424,0.8957
17,0.213,0.787,0.0,-0.2263
18,0.068,0.811,0.122,0.296
19,0.0,1.0,0.0,0.0
20,0.0,0.787,0.213,0.4019
21,0.0,0.0,0.0,0.0
22,0.0,1.0,0.0,0.0
23,0.0,0.554,0.446,0.9022
24,0.0,0.874,0.126,0.3182
25,0.0,0.136,0.864,0.7485
26,0.054,0.726,0.22,0.6557
27,0.093,0.826,0.081,-0.0772
28,0.0,0.528,0.472,0.9081
29,0.0,0.761,0.239,0.5719
30,0.0,0.909,0.091,0.3182
31,0.0,0.751,0.249,0.743
32,0.0,1.0,0.0,0.0
33,0.0,0.778,0.222,0.7184
34,0.0,0.84,0.16,0.6369
35,0.0,0.721,0.279,0.8176
36,0.0,0.563,0.437,0.4767
37,0.0,1.0,0.0,0.0
38,0.099,0.751,0.15,0.077
39,0.217,0.524,0.259,0.296
40,0.172,0.828,0.0,-0.4019
41,0.356,0.504,0.14,-0.7184
42,0.155,0.606,0.239,0.296
43,0.167,0.772,0.062,-0.5547
44,0.462,0.401,0.137,-0.8294
45,0.116,0.703,0.18,0.5355
46,0.172,0.592,0.237,0.2732
47,0.095,0.603,0.302,0.7003
48,0.195,0.629,0.176,-0.0772
49,0.0,0.854,0.146,0.4404
50,0.095,0.657,0.248,0.6369
51,0.0,0.763,0.237,0.6068
52,0.0,1.0,0.0,0.0
53,0.0,0.905,0.095,0.3182
54,0.0,1.0,0.0,0.0
55,0.0,0.826,0.174,0.6616
56,0.0,1.0,0.0,0.0
57,0.116,0.79,0.094,-0.1386
58,0.0,0.786,0.214,0.6239
59,0.0,1.0,0.0,0.0
60,0.57,0.317,0.113,-0.8027
61,0.0,1.0,0.0,0.0
62,0.1,0.9,0.0,-0.1154
63,0.122,0.732,0.146,-0.0772
64,0.138,0.665,0.197,0.0875
65,0.138,0.862,0.0,-0.4939
66,0.0,1.0,0.0,0.0
67,0.0,0.802,0.198,0.6361
68,0.181,0.675,0.143,-0.2263
69,0.174,0.826,0.0,-0.2732
70,0.0,0.714,0.286,0.6369
71,0.0,0.672,0.328,0.5994
72,0.059,0.796,0.145,0.4703
73,0.286,0.714,0.0,-0.25
74,0.126,0.714,0.159,0.1531
75,0.122,0.734,0.143,0.3818
76,0.0,0.884,0.116,0.1779
77,0.0,0.8,0.2,0.4576
78,0.0,0.729,0.271,0.6369
79,0.12,0.761,0.12,0.0
80,0.0,1.0,0.0,0.0
81,0.0,1.0,0.0,0.0
82,0.0,0.875,0.125,0.25
83,0.0,0.738,0.262,0.6096
84,0.0,0.738,0.262,0.6893
85,0.0,0.671,0.329,0.6597
86,0.272,0.728,0.0,-0.5938
87,0.0,0.751,0.249,0.5106
88,0.0,1.0,0.0,0.0
89,0.0,0.65,0.35,0.7189
90,0.0,1.0,0.0,0.0
91,0.166,0.834,0.0,-0.4574
92,0.0,0.79,0.21,0.4574
93,0.0,0.881,0.119,0.3182
94,0.0,0.763,0.237,0.4215
95,0.0,0.886,0.114,0.2023
96,0.197,0.803,0.0,-0.4926
97,0.0,0.769,0.231,0.128
98,0.0,1.0,0.0,0.0
99,0.0,0.775,0.225,0.4404
100,0.0,0.806,0.194,0.5859
101,0.0,1.0,0.0,0.0
102,0.0,1.0,0.0,0.0
103,0.0,1.0,0.0,0.0
104,0.0,1.0,0.0,0.0
105,0.0,1.0,0.0,0.0
106,0.0,0.821,0.179,0.5719
107,0.0,0.931,0.069,0.126
108,0.0,0.782,0.218,0.6956
109,0.0,1.0,0.0,0.0
110,0.263,0.538,0.199,-0.0516
111,0.0,0.707,0.293,0.6597
112,0.0,0.588,0.412,0.8439
113,0.0,0.615,0.385,0.6124
114,0.0,1.0,0.0,0.0
115,0.0,0.417,0.583,0.937
116,0.0,1.0,0.0,0.0
117,0.0,0.816,0.184,0.4019
118,0.0,1.0,0.0,0.0
119,0.115,0.754,0.131,0.1027
120,0.0,0.598,0.402,0.7506
121,0.11,0.462,0.428,0.7579
